Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
4, HARRIS, ORB, 160, 0, 13.2613, 0.187985, 0, 0.008247
5, HARRIS, ORB, 383, 0, 31.7218, 0.207337, 0, 0.008248
6, HARRIS, ORB, 85, 0, 11.9479, 0.145349, 0, 0.008922
7, HARRIS, ORB, 210, 0, 15.008, 0.142111, 0, 0.008081
8, HARRIS, ORB, 171, 0, 13.3014, 0.148745, 0, 0.007817
9, HARRIS, ORB, 281, 0, 20.1261, 0.239406, 0, 0.008505

0, HARRIS, FREAK, 115, 0, 12.3948, 0.001299, 0, 0
1, HARRIS, FREAK, 98, 0, 11.8559, 0.00138, 0, 0.010882
2, HARRIS, FREAK, 113, 0, 12.3511, 0.001748, 0, 0.01074
3, HARRIS, FREAK, 121, 0, 12.1514, 0.00159, 0, 0.010727
4, HARRIS, FREAK, 160, 0, 12.7957, 0.001402, 0, 0.010078
5, HARRIS, FREAK, 383, 0, 30.7985, 0.001787, 0, 0.011536
6, HARRIS, FREAK, 85, 0, 11.7704, 0.001237, 0, 0.010806
7, HARRIS, FREAK, 210, 0, 14.7121, 0.001446, 0, 0.010684
8, HARRIS, FREAK, 171, 0, 13.3424, 0.001375, 0, 0.011056
9, HARRIS, FREAK, 281, 0, 19.7017, 0.001547, 0, 0.010057

0, HARRIS, SIFT, 115, 0, 12.3097, 22.4998, 0, 0
1, HARRIS, SIFT, 98, 0, 17.5986, 22.9747, 0, 0.00891
2, HARRIS, SIFT, 113, 0, 17.0589, 22.251, 0, 0.008339
3, HARRIS, SIFT, 121, 0, 17.5463, 22.2775, 0, 0.009345
4, HARRIS, SIFT, 160, 0, 18.2048, 22.288, 0, 0.008818
5, HARRIS, SIFT, 383, 0, 36.988, 22.6691, 0, 0.009626
6, HARRIS, SIFT, 85, 0, 16.6464, 23.2028, 0, 0.010545
7, HARRIS, SIFT, 210, 0, 20.7298, 23.0329, 0, 0.010181
8, HARRIS, SIFT, 171, 0, 19.563, 22.6913, 0, 0.009093
9, HARRIS, SIFT, 281, 0, 25.4661, 22.7998, 0, 0.009257

0, FAST, BRISK, 1824, 149, 1.22024, 1.94206, 0, 0
1, FAST, BRISK, 1832, 152, 1.18313, 2.20525, 97, 0.990904
2, FAST, BRISK, 1810, 150, 1.16492, 2.04133, 104, 0.956034
