Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
8, SIFT, FREAK, 1463, 159, 161.722, 45.4793, 65, 0.995304
9, SIFT, FREAK, 1422, 137, 168.735, 46.671, 79, 1.02539

0, SIFT, SIFT, 1438, 138, 159.647, 88.2333, 0, 0
1, SIFT, SIFT, 1371, 132, 128.353, 89.2976, 82, 1.16226
2, SIFT, SIFT, 1380, 124, 157.986, 87.7295, 81, 1.0686
3, SIFT, SIFT, 1335, 137, 122.346, 84.3459, 85, 1.14543
4, SIFT, SIFT, 1305, 134, 130.065, 91.474, 93, 1.14028
5, SIFT, SIFT, 1370, 140, 165.871, 90.8259, 90, 1.1826
6, SIFT, SIFT, 1396, 137, 124.782, 82.0535, 81, 1.1997
7, SIFT, SIFT, 1382, 148, 121.894, 82.9426, 82, 1.30134
8, SIFT, SIFT, 1463, 159, 122.075, 83.605, 102, 1.3586
9, SIFT, SIFT, 1422, 137, 167.61, 91.0338, 104, 1.40025

